image_path,color_1,color_2,color_3
../data/raw\img_00000011.jpg,"(np.int64(30), np.int64(25), np.int64(23))","(np.int64(240), np.int64(235), np.int64(232))","(np.int64(213), np.int64(94), np.int64(84))"
../data/raw\img_00000015.jpg,"(np.int64(215), np.int64(215), np.int64(215))","(np.int64(52), np.int64(57), np.int64(63))","(np.int64(122), np.int64(135), np.int64(146))"
../data/raw\img_00000016.jpg,"(np.int64(222), np.int64(220), np.int64(217))","(np.int64(103), np.int64(96), np.int64(96))","(np.int64(36), np.int64(33), np.int64(33))"
../data/raw\img_00000017.jpg,"(np.int64(242), np.int64(242), np.int64(241))","(np.int64(40), np.int64(29), np.int64(26))","(np.int64(222), np.int64(136), np.int64(107))"
../data/raw\img_00000018.jpg,"(np.int64(195), np.int64(185), np.int64(173))","(np.int64(120), np.int64(111), np.int64(105))","(np.int64(254), np.int64(253), np.int64(253))"
../data/raw\img_00000019.jpg,"(np.int64(248), np.int64(247), np.int64(245))","(np.int64(62), np.int64(51), np.int64(45))","(np.int64(226), np.int64(184), np.int64(147))"
../data/raw\img_00000021.jpg,"(np.int64(235), np.int64(233), np.int64(234))","(np.int64(183), np.int64(134), np.int64(109))","(np.int64(58), np.int64(43), np.int64(41))"
../data/raw\img_00000024.jpg,"(np.int64(241), np.int64(240), np.int64(244))","(np.int64(29), np.int64(23), np.int64(27))","(np.int64(172), np.int64(113), np.int64(95))"
../data/raw\img_00000025.jpg,"(np.int64(51), np.int64(50), np.int64(53))","(np.int64(247), np.int64(246), np.int64(246))","(np.int64(14), np.int64(14), np.int64(15))"
../data/raw\img_00000029.jpg,"(np.int64(219), np.int64(196), np.int64(162))","(np.int64(254), np.int64(254), np.int64(254))","(np.int64(190), np.int64(161), np.int64(128))"
../data/raw\img_00000030.jpg,"(np.int64(101), np.int64(108), np.int64(119))","(np.int64(138), np.int64(132), np.int64(134))","(np.int64(170), np.int64(179), np.int64(187))"
../data/raw\img_00000031.jpg,"(np.int64(99), np.int64(102), np.int64(111))","(np.int64(254), np.int64(254), np.int64(254))","(np.int64(153), np.int64(154), np.int64(156))"
../data/raw\img_00000034.jpg,"(np.int64(107), np.int64(124), np.int64(138))","(np.int64(221), np.int64(189), np.int64(159))","(np.int64(247), np.int64(239), np.int64(226))"
../data/raw\img_00000037.jpg,"(np.int64(254), np.int64(254), np.int64(254))","(np.int64(16), np.int64(15), np.int64(14))","(np.int64(198), np.int64(163), np.int64(140))"
../data/raw\img_00000039.jpg,"(np.int64(254), np.int64(254), np.int64(254))","(np.int64(9), np.int64(133), np.int64(152))","(np.int64(178), np.int64(128), np.int64(98))"
../data/raw\img_00000040.jpg,"(np.int64(201), np.int64(199), np.int64(194))","(np.int64(135), np.int64(132), np.int64(129))","(np.int64(244), np.int64(244), np.int64(244))"
../data/raw\img_00000046.jpg,"(np.int64(78), np.int64(94), np.int64(84))","(np.int64(254), np.int64(254), np.int64(254))","(np.int64(164), np.int64(172), np.int64(166))"
../data/raw\img_00000055.jpg,"(np.int64(94), np.int64(89), np.int64(85))","(np.int64(199), np.int64(186), np.int64(174))","(np.int64(53), np.int64(48), np.int64(46))"
../data/raw\img_00000061.jpg,"(np.int64(254), np.int64(254), np.int64(254))","(np.int64(232), np.int64(191), np.int64(189))","(np.int64(78), np.int64(62), np.int64(59))"
../data/raw\img_0000007800.jpg,"(np.int64(186), np.int64(165), np.int64(152))","(np.int64(240), np.int64(238), np.int64(237))","(np.int64(47), np.int64(43), np.int64(45))"
../data/raw\img_000000789.jpg,"(np.int64(252), np.int64(250), np.int64(249))","(np.int64(40), np.int64(34), np.int64(30))","(np.int64(168), np.int64(151), np.int64(137))"
../data/raw\img_00000079.jpg,"(np.int64(254), np.int64(254), np.int64(254))","(np.int64(43), np.int64(42), np.int64(40))","(np.int64(205), np.int64(167), np.int64(137))"
../data/raw\img_000001235.jpg,"(np.int64(234), np.int64(230), np.int64(229))","(np.int64(45), np.int64(42), np.int64(51))","(np.int64(131), np.int64(120), np.int64(123))"
../data/raw\img_00000137.jpg,"(np.int64(241), np.int64(238), np.int64(234))","(np.int64(53), np.int64(53), np.int64(46))","(np.int64(75), np.int64(180), np.int64(163))"
../data/raw\img_000003511.jpg,"(np.int64(252), np.int64(251), np.int64(251))","(np.int64(52), np.int64(25), np.int64(75))","(np.int64(176), np.int64(141), np.int64(119))"
../data/raw\img_00000857.jpg,"(np.int64(252), np.int64(252), np.int64(252))","(np.int64(63), np.int64(55), np.int64(47))","(np.int64(199), np.int64(186), np.int64(175))"
../data/raw\img_00001507.jpg,"(np.int64(252), np.int64(250), np.int64(248))","(np.int64(92), np.int64(77), np.int64(68))","(np.int64(154), np.int64(140), np.int64(133))"
../data/raw\img_00002918.jpg,"(np.int64(254), np.int64(253), np.int64(253))","(np.int64(46), np.int64(50), np.int64(62))","(np.int64(134), np.int64(136), np.int64(133))"
../data/raw\img_000700007.jpg,"(np.int64(247), np.int64(247), np.int64(249))","(np.int64(27), np.int64(27), np.int64(26))","(np.int64(180), np.int64(157), np.int64(141))"
../data/raw\img_00070037.jpg,"(np.int64(253), np.int64(253), np.int64(253))","(np.int64(37), np.int64(38), np.int64(37))","(np.int64(112), np.int64(134), np.int64(132))"
../data/raw\img_004000011.jpg,"(np.int64(249), np.int64(249), np.int64(249))","(np.int64(58), np.int64(63), np.int64(64))","(np.int64(185), np.int64(170), np.int64(165))"
